ubigeo,reniec,departamento,provincia,distrito,region,macroregion_inei,latitude,longitude,altitude,superficie,total_pop,pob_densidad_2020,pct_pobreza_total,pct_pobreza_extrema,idh_2019,indice_vulnerabilidad_alimentaria,pct_quechua,pct_aimara,pct_indigenous_total,pct_castellano,pct_rural,pct_urbano,pct_sin_nivel,pct_primaria_o_menos,pct_secundaria,pct_superior_cualquiera,pct_univ_completa
010101,10101.0,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,ORIENTE,-6.22944444444445,-77.8727777777777,2338.0,153.78,32589.0,201.43711796072299,9.034625,1.439875,0.642360593890392,0.2796568274497989,0.5,0.03,0.72,99.17,1.73,98.27,3.97,34.42,29.22,36.22,15.16
010102,10102.0,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,AMAZONAS,ORIENTE,-6.0325,-77.7108333333333,2823.0,25.71,262.0,13.9634383508363,36.519949,15.68075,0.423031925028296,0.558548808097839,0.41,0.0,0.41,99.59,44.66,55.34,15.2,58.8,24.8,16.4,4.0
010103,10103.0,AMAZONAS,CHACHAPOYAS,BALSAS,AMAZONAS,ORIENTE,-6.83583333333333,-78.0197222222222,859.0,357.09,1136.0,4.0465988966367004,45.732962,15.42712,0.3153084213221579,0.646749496459961,0.1,0.0,0.1,99.9,68.84,31.16,11.54,69.51,24.11,6.38,1.88
010104,10104.0,AMAZONAS,CHACHAPOYAS,CHETO,AMAZONAS,ORIENTE,-6.25555555555555,-77.7008333333333,2143.0,56.97,642.0,13.568544848165701,39.169782,23.67841,0.3457457815677569,0.5308460593223568,0.17,0.0,0.17,99.83,30.06,69.94,5.39,67.65,24.51,7.84,3.1
010105,10105.0,AMAZONAS,CHACHAPOYAS,CHILIQUIN,AMAZONAS,ORIENTE,-6.07833333333333,-77.7375,2677.0,143.43,585.0,6.8326012689116604,53.045662,36.39537,0.275037798834594,0.7068542242050169,0.18,0.0,0.18,99.64,67.86,32.14,10.95,81.87,14.0,4.13,1.26
010106,10106.0,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS,ORIENTE,-6.935,-77.8541666666667,2803.0,278.63,1781.0,7.9137207048774396,51.607832,43.78883,0.269269728632059,0.699132204055786,0.12,0.0,0.12,99.88,70.41,29.59,12.18,63.64,28.4,7.96,2.14
010107,10107.0,AMAZONAS,CHACHAPOYAS,GRANADA,AMAZONAS,ORIENTE,-6.10638888888889,-77.6286111111111,3041.0,181.41,480.0,3.1530786615952802,43.865957,5.943345,0.358001458425031,0.617030620574951,1.55,0.0,1.55,97.79,62.71,37.29,8.57,69.89,23.96,6.15,1.54
010108,10108.0,AMAZONAS,CHACHAPOYAS,HUANCAS,AMAZONAS,ORIENTE,-6.17361111111111,-77.8644444444444,2591.0,48.79,1258.0,25.784,31.977312,12.50203,0.414755647270218,0.479354858398438,0.34,0.08,0.76,99.24,3.42,96.58,4.12,49.23,40.6,10.17,2.99
010109,10109.0,AMAZONAS,CHACHAPOYAS,LA JALCA,AMAZONAS,ORIENTE,-6.48472222222222,-77.815,2869.0,380.39,3978.0,16.0598333289519,47.947723,28.35085,0.2951844378190839,0.636790215969086,2.6,0.0,2.63,97.09,39.92,60.08,9.33,67.5,27.06,5.44,1.07
010110,10110.0,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS,ORIENTE,-6.7075,-77.8038888888889,2226.0,373.14,3620.0,9.7550517232138105,25.741684,15.19174,0.3989509209740669,0.440641820430756,0.18,0.0,0.18,99.43,22.71,77.29,11.7,59.44,25.97,14.56,4.34
010111,10111.0,AMAZONAS,CHACHAPOYAS,LEVANTO,AMAZONAS,ORIENTE,-6.30777777777778,-77.8991666666667,2681.0,77.54,794.0,14.727882383286,41.081444,24.37787,0.3242953075464239,0.544558167457581,0.27,0.0,0.27,99.47,42.07,57.93,15.41,72.24,21.12,6.64,1.06
010112,10112.0,AMAZONAS,CHACHAPOYAS,MAGDALENA,AMAZONAS,ORIENTE,-6.37305555555555,-77.9016666666667,1892.0,135.47,852.0,7.2119288403336501,30.634088,20.61026,0.4737697721284039,0.429324865341187,0.25,0.0,0.25,99.63,17.72,82.28,10.34,58.41,27.27,14.32,4.98
010113,10113.0,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONAS,ORIENTE,-6.59444444444444,-77.8086111111111,2210.0,83.58,1367.0,12.969609954534601,39.230882,18.90431,0.446101217220829,0.439787209033966,0.0,0.0,0.0,99.85,28.6,71.4,4.77,52.96,33.44,13.45,4.84
010114,10114.0,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS,ORIENTE,-6.20916666666667,-77.6691666666667,2405.0,333.86,2176.0,7.8685676630923096,35.654304,25.45505,0.3809071590689779,0.539001107215881,0.72,0.0,0.72,99.23,69.99,30.01,7.68,63.9,27.12,8.98,3.5
010115,10115.0,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,AMAZONAS,ORIENTE,-6.61805555555555,-77.8022222222222,2421.0,119.01,496.0,6.3776153264431601,38.644489,10.08896,0.4476306761889269,0.438624799251557,0.21,0.0,0.21,99.79,7.26,92.74,9.53,52.33,30.3,17.16,4.87
