ubigeo,imputed,n_parents,parent_ubigeos,cvr_deaths,cvr_events,cvr_guerr_8088,cvr_guerr_8900,cvr_state_8088,cvr_state_8900,emergency_zone_1990,guerrilla_presence,marxist_vote_1980,colonial_mita_zone,prior_social_movements,illiteracy_1972,population_1972_thousands
010101,False,1,010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14076611399650574,0.0,0.0,0.1727481484413147,11.756999969482422
010102,False,1,010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.29386892914772034,0.4729999899864197
010103,False,1,010103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315867900848,0.0,0.0,0.30905306339263916,0.9610000252723694
010104,False,1,010104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11016949266195297,0.0,0.0,0.2528957426548004,0.5180000066757202
010105,False,1,010105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04712041839957237,0.0,0.0,0.3426741361618042,1.2489999532699585
010106,False,1,010106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142873108387,0.0,0.0,0.2276785671710968,2.0160000324249268
010107,False,1,010107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111380159855,0.0,0.0,0.30124223232269287,0.6439999938011169
010108,False,1,010108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05384615436196327,0.0,0.0,0.322003573179245,0.5590000152587891
010109,False,1,010109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04851752147078514,0.0,0.0,0.4189356565475464,3.2320001125335693
010110,False,1,010110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03283173590898514,0.0,0.0,0.20743711292743683,2.743000030517578
010111,False,1,010111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065727710723877,0.0,0.0,0.32608696818351746,0.9660000205039978
010112,False,1,010112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012096773833036423,0.0,0.0,0.2668067216873169,0.9520000219345093
010113,False,1,010113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11029411852359772,0.0,0.0,0.2618526518344879,1.371000051498413
010114,False,1,010114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05147058889269829,0.0,0.0,0.33860573172569275,1.7070000171661377
010115,False,1,010115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234375,0.0,0.0,0.20075757801532745,0.7919999957084656
010116,False,1,010116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033,0.0,0.0,0.4524714946746826,0.5260000228881836
010117,False,1,010117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06530611962080002,0.0,0.0,0.3255224823951721,1.5789999961853027
010118,False,1,010118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25471699237823486,0.3179999887943268
010119,False,1,010119,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.054054055362939835,0.0,0.0,0.24193547666072845,0.5580000281333923
010120,False,1,010120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04444444552063942,0.0,0.0,0.3412947952747345,1.590999960899353
010121,False,1,010121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157933950424,0.0,0.0,0.2953367829322815,0.38600000739097595
010202,False,1,010202,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13623395562171936,0.0,0.0,0.37674784660339355,8.868000030517578
010203,False,1,010203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142873108387,0.0,0.0,0.34293657541275024,7.914000034332275
010204,False,1,010204,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.021479712799191475,0.0,0.0,0.2577362358570099,16.900999069213867
010301,False,1,010301,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09497206658124924,0.0,0.0,0.15122312307357788,1.3489999771118164
010302,False,1,010302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267605572938919,0.0,0.0,0.13731342554092407,0.33500000834465027
010303,False,1,010303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04918032884597778,0.0,0.0,0.22028985619544983,0.3449999988079071
010304,False,1,010304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20202019810676575,0.1979999989271164
010305,False,1,010305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07758620381355286,0.0,0.0,0.22164016962051392,5.535999774932861
010306,False,1,010306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05922551080584526,0.0,0.0,0.20655927062034607,1.7380000352859497
010308,False,1,010308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06299212574958801,0.0,0.0,0.2179732322692871,0.5230000019073486
010311,False,1,010311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04827586188912392,0.0,0.0,0.2609442174434662,1.1649999618530273
010312,False,1,010312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0602409653365612,0.0,0.0,0.45475250482559204,14.928999900817871
010501,False,1,010501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07971014827489853,0.0,0.0,0.27932435274124146,3.197000026702881
010502,False,1,010502,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036866359412670135,0.0,0.0,0.2886817455291748,3.755000114440918
010503,False,1,010503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042635660618543625,0.0,0.0,0.3091549277305603,1.4199999570846558
010504,False,1,010504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037328094244003296,0.0,0.0,0.33346614241600037,2.509999990463257
010505,False,1,010505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1168384850025177,0.0,0.0,0.4327555298805237,1.6729999780654907
010506,False,1,010506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045046135783195,0.0,0.0,0.27671539783477783,0.8889999985694885
010507,False,1,010507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545468091965,0.0,0.0,0.29401087760925293,0.5509999990463257
010508,False,1,010508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13028168678283691,0.0,0.0,0.39235568046569824,1.281999945640564
010509,False,1,010509,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08124999701976776,0.0,0.0,0.33419913053512573,3.4649999141693115
010510,False,1,010510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01840490847826004,0.0,0.0,0.4474153220653534,0.5609999895095825
010511,False,1,010511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.2689242959022522,0.5019999742507935
010512,False,1,010512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04093567281961441,0.0,0.0,0.3206911087036133,2.372999906539917
010513,False,1,010513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02300613559782505,0.0,0.0,0.36704516410827637,3.7869999408721924
010514,False,1,010514,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.007299270015209913,0.0,0.0,0.3870689570903778,3.4800000190734863
010516,False,1,010516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275849223137,0.0,0.0,0.41887593269348145,0.9430000185966492
010517,False,1,010517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01904761977493763,0.0,0.0,0.30323678255081177,0.5870000123977661
010519,False,1,010519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612710952759,0.0,0.0,0.31527093052864075,0.609000027179718
010520,False,1,010520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05844155699014664,0.0,0.0,0.41035473346710205,1.0429999828338623
010521,False,1,010521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09318996220827103,0.0,0.0,0.31956762075424194,3.6080000400543213
010522,False,1,010522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454680919647,0.0,0.0,0.22921109199523926,0.9380000233650208
010523,False,1,010523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022421523928642273,0.0,0.0,0.45037221908569336,0.8059999942779541
010601,False,1,010601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06124314293265343,0.0,0.0,0.18129834532737732,2.9730000495910645
010602,False,1,010602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2063492089509964,0.8190000057220459
010603,False,1,010603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013215859420597553,0.0,0.0,0.243792325258255,0.4429999887943268
010604,False,1,010604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014428412541747093,0.0,0.0,0.25902992486953735,3.875999927520752
010605,False,1,010605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007792207878082991,0.0,0.0,0.1774294674396515,1.5950000286102295
010606,False,1,010606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004089979454874992,0.0,0.0,0.27495622634887695,1.7130000591278076
010607,False,1,010607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009501188062131405,0.0,0.0,0.27402135729789734,1.4049999713897705
010608,False,1,010608,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009523809887468815,0.0,0.0,0.33510637283325195,0.5640000104904175
010609,False,1,010609,4.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.012698412872850895,0.0,0.0,0.25218233466148376,1.031000018119812
010610,False,1,010610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25284090638160706,0.7039999961853027
010611,False,1,010611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906519889832,0.0,0.0,0.18903592228889465,0.5289999842643738
010612,False,1,010612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666667014360428,0.0,0.0,0.2830188572406769,0.10599999874830246
010701,False,1,010701,11.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.06972265243530273,0.0,0.0,0.2920393645763397,20.01099967956543
010702,False,1,010702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03867924585938454,0.0,0.0,0.2979062497615814,8.788000106811523
010703,False,1,010703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06805708259344101,0.0,0.0,0.33474352955818176,5.672999858856201
010705,False,1,010705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05249343812465668,0.0,0.0,0.30251172184944153,3.622999906539917
010706,False,1,010706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08794788271188736,0.0,0.0,0.31971579790115356,5.066999912261963
010707,False,1,010707,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05131761357188225,0.0,0.0,0.36604034900665283,2.874000072479248
020101,False,1,020101,32.0,53.0,0.0,3.0,0.0,11.0,0.0,1.0,0.2606099247932434,0.0,0.0,0.32212623953819275,59.27799987792969
020102,False,1,020102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454680919647,0.0,0.0,0.3422712981700897,1.9019999504089355
020103,False,1,020103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810811072587967,0.0,0.0,0.21040189266204834,0.4230000078678131
020104,False,1,020104,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.22704081237316132,0.0,0.0,0.2808460593223572,2.552999973297119
020106,False,1,020106,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27034884691238403,0.0,0.0,0.5662495493888855,5.434000015258789
020107,False,1,020107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341317355632782,0.0,0.0,0.33788642287254333,1.3910000324249268
020108,False,1,020108,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32420089840888977,0.0,0.0,0.41645634174346924,3.9619998931884766
020109,False,1,020109,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606241226196,0.0,0.0,0.28424015641212463,2.131999969482422
020110,False,1,020110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13028764724731445,0.0,0.0,0.3903852701187134,2.933000087738037
020111,False,1,020111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13621622323989868,0.0,0.0,0.3918958008289337,3.4549999237060547
020112,False,1,020112,6.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.21682243049144745,0.0,0.0,0.5275031924247742,3.944999933242798
020201,False,1,020201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21047119796276093,0.0,0.0,0.1930069923400879,3.575000047683716
020202,False,1,020202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21412301063537598,0.0,0.0,0.2885154187679291,1.784999966621399
020203,False,1,020203,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3070175349712372,0.0,0.0,0.25154638290405273,0.48500001430511475
020204,False,1,020204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25076451897621155,0.0,0.0,0.29394495487213135,2.7249999046325684
020205,False,1,020205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30249109864234924,0.0,0.0,0.1690017580986023,1.1419999599456787
020301,False,1,020301,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1367403268814087,0.0,0.0,0.3605397045612335,4.520999908447266
020302,False,1,020302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06013745814561844,0.0,0.0,0.44801607728004456,3.9820001125335693
020303,False,1,020303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20560747385025024,0.0,0.0,0.41575756669044495,2.4749999046325684
020304,False,1,020304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139219045639038,0.0,0.0,0.3587280511856079,3.0190000534057617
020305,False,1,020305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11811023950576782,0.0,0.0,0.5932426452636719,4.558000087738037
020401,False,1,020401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10531914979219437,0.0,0.0,0.5937246680259705,9.880000114440918
020501,False,1,020501,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20095044374465942,0.0,0.0,0.21316614747047424,5.104000091552734
020502,False,1,020502,10.0,4.0,2.0,1.0,2.0,4.0,1.0,0.0,0.18115942180156708,0.0,0.0,0.2211981564760208,0.21699999272823334
020503,False,1,020503,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08181817829608917,0.0,0.0,0.3311965763568878,1.4040000438690186
020504,False,1,020504,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20477814972400665,0.0,0.0,0.28422024846076965,3.250999927520752
020505,False,1,020505,5.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.13235294818878174,0.0,0.0,0.2416311651468277,1.6430000066757202
020506,False,1,020506,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.23076923191547394,0.0,0.0,0.3663366436958313,0.30300000309944153
020507,False,1,020507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08252426981925964,0.0,0.0,0.2523076832294464,1.2999999523162842
020508,False,1,020508,4.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.09217876940965652,0.0,0.0,0.27853021025657654,7.973999977111816
