ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_AEV,r1_AN,r1_APP,r1_APRA,r1_AvP,r1_CPP,r1_CoopP,r1_FE,r1_FE21,r1_FP,r1_FREPAP,r1_FyL,r1_JxP,r1_LP,r1_Morado,r1_Obras,r1_PBG,r1_PDF,r1_PDU,r1_PDV,r1_PID,r1_PL,r1_PLG,r1_PM4,r1_PP1,r1_PPA,r1_PPP,r1_PRG,r1_PRIN,r1_PTE,r1_Podemos,r1_PxT,r1_RP,r1_SAP,r1_SICREO,r1_SP20,r1_UCD,r1_UN,r1_total_valid,r1_blank,r1_null,r1_pct_AEV,r1_pct_AN,r1_pct_APP,r1_pct_APRA,r1_pct_AvP,r1_pct_CPP,r1_pct_CoopP,r1_pct_FE,r1_pct_FE21,r1_pct_FP,r1_pct_FREPAP,r1_pct_FyL,r1_pct_JxP,r1_pct_LP,r1_pct_Morado,r1_pct_Obras,r1_pct_PBG,r1_pct_PDF,r1_pct_PDU,r1_pct_PDV,r1_pct_PID,r1_pct_PL,r1_pct_PLG,r1_pct_PM4,r1_pct_PP1,r1_pct_PPA,r1_pct_PPP,r1_pct_PRG,r1_pct_PRIN,r1_pct_PTE,r1_pct_Podemos,r1_pct_PxT,r1_pct_RP,r1_pct_SAP,r1_pct_SICREO,r1_pct_SP20,r1_pct_UCD,r1_pct_UN,r1_winner
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,177.0,1750.0,202.0,141.0,19.0,0.0,131.0,11.0,199.0,2395.0,0.0,28.0,1062.0,25.0,87.0,1395.0,1745.0,24.0,35.0,44.0,35.0,74.0,867.0,7.0,121.0,22.0,127.0,28.0,12.0,8.0,107.0,574.0,1141.0,8.0,455.0,335.0,39.0,50.0,13480,1891,1100,1.3131,12.9822,1.4985,1.046,0.1409,0.0,0.9718,0.0816,1.4763,17.7671,0.0,0.2077,7.8783,0.1855,0.6454,10.3487,12.9451,0.178,0.2596,0.3264,0.2596,0.549,6.4318,0.0519,0.8976,0.1632,0.9421,0.2077,0.089,0.0593,0.7938,4.2582,8.4644,0.0593,3.3754,2.4852,0.2893,0.3709,FP
010102,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,4.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,15.0,0.0,0.0,16.0,14.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,13.0,1.0,0.0,121,40,12,3.3058,16.5289,2.4793,0.0,0.0,0.0,0.0,0.0,0.8264,10.7438,0.0,0.0,12.3967,0.0,0.0,13.2231,11.5702,0.8264,1.6529,0.0,0.0,1.6529,1.6529,0.0,0.0,1.6529,0.8264,0.0,0.8264,0.0,0.0,0.8264,4.1322,0.8264,2.4793,10.7438,0.8264,0.0,AN
010103,AMAZONAS,CHACHAPOYAS,BALSAS,3.0,31.0,20.0,3.0,0.0,0.0,0.0,1.0,1.0,120.0,0.0,0.0,188.0,0.0,2.0,66.0,8.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,18.0,3.0,7.0,3.0,3.0,1.0,9.0,16.0,11.0,1.0,12.0,74.0,0.0,0.0,612,137,27,0.4902,5.0654,3.268,0.4902,0.0,0.0,0.0,0.1634,0.1634,19.6078,0.0,0.0,30.719,0.0,0.3268,10.7843,1.3072,0.0,0.1634,0.1634,0.1634,0.6536,0.6536,0.0,2.9412,0.4902,1.1438,0.4902,0.4902,0.1634,1.4706,2.6144,1.7974,0.1634,1.9608,12.0915,0.0,0.0,JxP
010104,AMAZONAS,CHACHAPOYAS,CHETO,9.0,18.0,9.0,3.0,0.0,0.0,1.0,0.0,2.0,67.0,0.0,0.0,77.0,0.0,3.0,87.0,17.0,0.0,0.0,5.0,0.0,3.0,7.0,0.0,1.0,1.0,13.0,1.0,0.0,0.0,5.0,2.0,18.0,0.0,9.0,4.0,1.0,2.0,365,65,46,2.4658,4.9315,2.4658,0.8219,0.0,0.0,0.274,0.0,0.5479,18.3562,0.0,0.0,21.0959,0.0,0.8219,23.8356,4.6575,0.0,0.0,1.3699,0.0,0.8219,1.9178,0.0,0.274,0.274,3.5616,0.274,0.0,0.0,1.3699,0.5479,4.9315,0.0,2.4658,1.0959,0.274,0.5479,Obras
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,3.0,20.0,14.0,0.0,0.0,0.0,3.0,1.0,0.0,138.0,0.0,0.0,82.0,3.0,0.0,54.0,15.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,6.0,8.0,0.0,3.0,9.0,1.0,0.0,380,105,34,0.7895,5.2632,3.6842,0.0,0.0,0.0,0.7895,0.2632,0.0,36.3158,0.0,0.0,21.5789,0.7895,0.0,14.2105,3.9474,0.0,0.0,0.5263,0.0,1.3158,1.5789,0.0,0.2632,0.0,0.5263,0.5263,0.2632,0.0,0.2632,1.5789,2.1053,0.0,0.7895,2.3684,0.2632,0.0,FP
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,6.0,38.0,10.0,10.0,0.0,0.0,2.0,0.0,2.0,157.0,0.0,2.0,88.0,1.0,3.0,32.0,7.0,2.0,0.0,6.0,1.0,8.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,21.0,2.0,5.0,43.0,0.0,0.0,470,154,75,1.2766,8.0851,2.1277,2.1277,0.0,0.0,0.4255,0.0,0.4255,33.4043,0.0,0.4255,18.7234,0.2128,0.6383,6.8085,1.4894,0.4255,0.0,1.2766,0.2128,1.7021,1.2766,0.2128,0.4255,0.0,0.0,0.2128,0.2128,0.2128,1.2766,1.2766,4.4681,0.4255,1.0638,9.1489,0.0,0.0,FP
010107,AMAZONAS,CHACHAPOYAS,GRANADA,5.0,36.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,52.0,0.0,2.0,57.0,0.0,4.0,80.0,20.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,8.0,5.0,1.0,9.0,14.0,3.0,3.0,321,45,17,1.5576,11.215,0.0,0.3115,0.0,0.0,0.6231,0.0,0.9346,16.1994,0.0,0.6231,17.757,0.0,1.2461,24.9221,6.2305,0.3115,1.2461,0.0,0.0,0.6231,0.0,0.0,0.3115,0.3115,0.3115,0.0,0.9346,0.0,0.9346,2.4922,1.5576,0.3115,2.8037,4.3614,0.9346,0.9346,Obras
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,15.0,35.0,16.0,1.0,0.0,0.0,1.0,2.0,3.0,159.0,0.0,1.0,70.0,1.0,2.0,61.0,23.0,0.0,1.0,1.0,1.0,10.0,12.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,6.0,21.0,35.0,0.0,5.0,27.0,1.0,1.0,522,105,40,2.8736,6.705,3.0651,0.1916,0.0,0.0,0.1916,0.3831,0.5747,30.4598,0.0,0.1916,13.41,0.1916,0.3831,11.6858,4.4061,0.0,0.1916,0.1916,0.1916,1.9157,2.2989,0.0,1.1494,0.0,0.7663,0.0,0.1916,0.0,1.1494,4.023,6.705,0.0,0.9579,5.1724,0.1916,0.1916,FP
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,24.0,69.0,25.0,7.0,3.0,0.0,2.0,1.0,16.0,142.0,0.0,2.0,1355.0,3.0,4.0,369.0,41.0,4.0,34.0,10.0,3.0,18.0,31.0,0.0,4.0,8.0,26.0,5.0,0.0,1.0,43.0,21.0,38.0,3.0,25.0,36.0,3.0,0.0,2376,535,251,1.0101,2.904,1.0522,0.2946,0.1263,0.0,0.0842,0.0421,0.6734,5.9764,0.0,0.0842,57.0286,0.1263,0.1684,15.5303,1.7256,0.1684,1.431,0.4209,0.1263,0.7576,1.3047,0.0,0.1684,0.3367,1.0943,0.2104,0.0,0.0421,1.8098,0.8838,1.5993,0.1263,1.0522,1.5152,0.1263,0.0,JxP
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,6.0,131.0,29.0,103.0,2.0,0.0,5.0,2.0,10.0,218.0,0.0,1.0,284.0,1.0,7.0,127.0,117.0,3.0,27.0,4.0,1.0,13.0,23.0,1.0,7.0,0.0,8.0,3.0,0.0,0.0,17.0,41.0,98.0,1.0,27.0,120.0,4.0,7.0,1448,325,132,0.4144,9.047,2.0028,7.1133,0.1381,0.0,0.3453,0.1381,0.6906,15.0552,0.0,0.0691,19.6133,0.0691,0.4834,8.7707,8.0801,0.2072,1.8646,0.2762,0.0691,0.8978,1.5884,0.0691,0.4834,0.0,0.5525,0.2072,0.0,0.0,1.174,2.8315,6.768,0.0691,1.8646,8.2873,0.2762,0.4834,JxP
