ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_PNP,r1_FA,r1_PM,r1_PPS,r1_VN,r1_AP,r1_AvP,r1_PP,r1_JP,r1_PPC,r1_FP,r1_UPP,r1_RP,r1_RUNA,r1_SP,r1_PL,r1_DD,r1_APP,VOTOS_VB,VOTOS_VN,VOTOS_VI,r1_total_valid,r1_blank,r1_null,r1_pct_PNP,r1_pct_FA,r1_pct_PM,r1_pct_PPS,r1_pct_VN,r1_pct_AP,r1_pct_AvP,r1_pct_PP,r1_pct_JP,r1_pct_PPC,r1_pct_FP,r1_pct_UPP,r1_pct_RP,r1_pct_RUNA,r1_pct_SP,r1_pct_PL,r1_pct_DD,r1_pct_APP,r2_castillo,r2_fujimori,r2_blank,r2_null,r2_total_valid,r2_pct_castillo,r2_pct_fujimori,r2_margin,r2_winner
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,182.0,112.0,281.0,35.0,630.0,1338.0,1132.0,333.0,1314.0,125.0,1222.0,30.0,1225.0,36.0,213.0,1695.0,36.0,1009.0,1543.0,1128.0,0.0,10948.0,1543.0,1128.0,1.66,1.02,2.57,0.32,5.75,12.22,10.34,3.04,12.0,1.14,11.16,0.27,11.19,0.33,1.95,15.48,0.33,9.22,7573.0,6066.0,119.0,1254.0,13639.0,55.52,44.48,11.04,Castillo
010102,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,15.0,0.0,2.0,1.0,8.0,17.0,1.0,2.0,6.0,0.0,6.0,0.0,6.0,1.0,3.0,14.0,0.0,8.0,9.0,15.0,0.0,90.0,9.0,15.0,16.67,0.0,2.22,1.11,8.89,18.89,1.11,2.22,6.67,0.0,6.67,0.0,6.67,1.11,3.33,15.56,0.0,8.89,121.0,31.0,2.0,4.0,152.0,79.61,20.39,59.22,Castillo
010103,AMAZONAS,CHACHAPOYAS,BALSAS,9.0,3.0,5.0,1.0,25.0,52.0,4.0,2.0,28.0,1.0,49.0,2.0,21.0,2.0,10.0,117.0,0.0,25.0,122.0,26.0,0.0,356.0,122.0,26.0,2.53,0.84,1.4,0.28,7.02,14.61,1.12,0.56,7.87,0.28,13.76,0.56,5.9,0.56,2.81,32.87,0.0,7.02,368.0,259.0,4.0,26.0,627.0,58.69,41.31,17.38,Castillo
010104,AMAZONAS,CHACHAPOYAS,CHETO,29.0,18.0,4.0,0.0,9.0,47.0,14.0,2.0,37.0,2.0,29.0,1.0,26.0,1.0,1.0,44.0,0.0,32.0,78.0,37.0,0.0,296.0,78.0,37.0,9.8,6.08,1.35,0.0,3.04,15.88,4.73,0.68,12.5,0.68,9.8,0.34,8.78,0.34,0.34,14.86,0.0,10.81,265.0,115.0,5.0,42.0,380.0,69.74,30.26,39.48,Castillo
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,14.0,2.0,1.0,1.0,2.0,28.0,3.0,2.0,14.0,0.0,88.0,1.0,6.0,3.0,0.0,41.0,2.0,12.0,78.0,26.0,0.0,220.0,78.0,26.0,6.36,0.91,0.45,0.45,0.91,12.73,1.36,0.91,6.36,0.0,40.0,0.45,2.73,1.36,0.0,18.64,0.91,5.45,166.0,191.0,0.0,26.0,357.0,46.5,53.5,-7.0,Fujimori
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,9.0,13.0,6.0,0.0,27.0,54.0,1.0,2.0,56.0,1.0,125.0,3.0,13.0,4.0,6.0,60.0,3.0,35.0,166.0,57.0,0.0,418.0,166.0,57.0,2.15,3.11,1.44,0.0,6.46,12.92,0.24,0.48,13.4,0.24,29.9,0.72,3.11,0.96,1.44,14.35,0.72,8.37,311.0,340.0,3.0,41.0,651.0,47.77,52.23,-4.46,Fujimori
010107,AMAZONAS,CHACHAPOYAS,GRANADA,11.0,1.0,8.0,0.0,4.0,18.0,8.0,0.0,24.0,0.0,39.0,0.0,17.0,1.0,2.0,79.0,0.0,14.0,45.0,18.0,0.0,226.0,45.0,18.0,4.87,0.44,3.54,0.0,1.77,7.96,3.54,0.0,10.62,0.0,17.26,0.0,7.52,0.44,0.88,34.96,0.0,6.19,187.0,89.0,4.0,15.0,276.0,67.75,32.25,35.5,Castillo
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,22.0,5.0,7.0,0.0,19.0,30.0,2.0,5.0,13.0,1.0,35.0,1.0,15.0,3.0,2.0,54.0,1.0,16.0,53.0,25.0,0.0,231.0,53.0,25.0,9.52,2.16,3.03,0.0,8.23,12.99,0.87,2.16,5.63,0.43,15.15,0.43,6.49,1.3,0.87,23.38,0.43,6.93,159.0,158.0,3.0,8.0,317.0,50.16,49.84,0.32,Castillo
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,160.0,45.0,21.0,6.0,56.0,168.0,36.0,38.0,287.0,6.0,107.0,15.0,75.0,15.0,26.0,564.0,0.0,173.0,576.0,259.0,0.0,1798.0,576.0,259.0,8.9,2.5,1.17,0.33,3.11,9.34,2.0,2.11,15.96,0.33,5.95,0.83,4.17,0.83,1.45,31.37,0.0,9.62,2158.0,464.0,41.0,228.0,2622.0,82.3,17.7,64.6,Castillo
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,45.0,20.0,14.0,4.0,44.0,178.0,82.0,22.0,119.0,3.0,148.0,2.0,96.0,3.0,48.0,215.0,4.0,96.0,326.0,109.0,0.0,1143.0,326.0,109.0,3.94,1.75,1.22,0.35,3.85,15.57,7.17,1.92,10.41,0.26,12.95,0.17,8.4,0.26,4.2,18.81,0.35,8.4,849.0,697.0,23.0,102.0,1546.0,54.92,45.08,9.84,Castillo
