ubigeo,department,provincia,distrito,landredist_pc,landredist_pcprivate,landredist_pc_2,landdist_uncult_pc,D_LRSurfaceArea50th,LRpercap_calweighted_log,prop_ha_ths,imputed,lr_parent_ubigeo
010101,Amazonas,CHACHAPOYAS,CHACHAPOYAS,0.17586587,0.24530992,0.030928805,0.0,0.0,1.391915,9.0716,False,10101
010102,Amazonas,CHACHAPOYAS,ASUNCIÓN,0.0,0.0,0.0,0.0,0.0,0.0,1.391,False,10102
010103,Amazonas,CHACHAPOYAS,BALSAS,0.018117059,0.191474,0.00032822782,0.0,0.0,4.694525,4.64603,False,10103
010104,Amazonas,CHACHAPOYAS,CHETO,0.0,0.0,0.0,0.0,0.0,0.0,8.57925,False,10104
010105,Amazonas,CHACHAPOYAS,CHILIQUIN,0.00018508757,0.0040097893,3.4257408e-08,0.0,0.0,0.114384584,129.1065,False,10105
010106,Amazonas,CHACHAPOYAS,CHUQUIBAMBA,0.0,0.0,0.0,0.0,0.0,0.0,18.90695,False,10106
010107,Amazonas,CHACHAPOYAS,GRANADA,0.0,0.0,0.0,0.0,0.0,0.0,0.104,False,10107
010108,Amazonas,CHACHAPOYAS,HUANCAS,0.0,0.0,0.0,0.0,0.0,0.0,0.39317,False,10108
010109,Amazonas,CHACHAPOYAS,LA JALCA,0.0,0.0,0.0,0.0,0.0,0.0,0.141,False,10109
010110,Amazonas,CHACHAPOYAS,LEIMEBAMBA,0.0,0.0,0.0,0.0,0.0,0.0,0.126,False,10110
010111,Amazonas,CHACHAPOYAS,LEVANTO,0.3062218,1.0,0.0937718,0.0,0.0,15.158452,1.3304,False,10111
010112,Amazonas,CHACHAPOYAS,MAGDALENA,0.080215916,0.49936774,0.0064345933,0.0,0.0,6.812114,2.3385,False,10112
010113,Amazonas,CHACHAPOYAS,MARISCAL CASTILLA,0.0,0.0,0.0,0.0,0.0,0.0,1.5199399,False,10113
010114,Amazonas,CHACHAPOYAS,MOLINOPAMPA,0.0,0.0,0.0,0.0,0.0,0.0,0.11125,False,10114
010115,Amazonas,CHACHAPOYAS,MONTEVIDEO,0.0,0.0,0.0,0.0,0.0,0.0,3.2348,False,10115
010116,Amazonas,CHACHAPOYAS,OLLEROS,0.0,0.0,0.0,0.0,0.0,0.0,101.67445,False,10116
010117,Amazonas,CHACHAPOYAS,QUINJALCA,0.0,0.0,0.0,0.0,0.0,0.0,1.7946601,False,10117
010118,Amazonas,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,0.041383907,0.13705903,0.0017126278,0.0,0.0,3.9197767,0.8646,False,10118
010119,Amazonas,CHACHAPOYAS,SAN ISIDRO DE MAINO,0.009062999,0.030669285,8.213795e-05,0.0,0.0,0.9416842,2.5021799,False,10119
010120,Amazonas,CHACHAPOYAS,SOLOCO,0.0,0.0,0.0,0.0,0.0,0.0,61.454178,False,10120
010121,Amazonas,CHACHAPOYAS,SONCHE,0.15770586,0.1583271,0.024871137,0.0,0.0,78.20082,30.37025,False,10121
010202,Amazonas,BAGUA,ARAMANGO,0.0,0.0,0.0,0.000297589,0.0,0.0,1.49945,False,10202
010203,Amazonas,BAGUA,COPALLIN,0.0,0.0,0.0,0.059595134,0.0,0.0,1.277511,False,10203
010204,Amazonas,BAGUA,EL PARCO,0.054676194,0.18566187,0.002989486,0.028229158,0.0,0.7385433,23.26299,False,10204
010301,Amazonas,BONGARÁ,JUMBILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.42729002,False,10301
010302,Amazonas,BONGARÁ,CHISQUILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.43507,False,10302
010303,Amazonas,BONGARÁ,CHURUJA,0.0,0.0,0.0,0.0,0.0,0.0,0.21901,False,10303
010304,Amazonas,BONGARÁ,COROSHA,0.0,0.0,0.0,0.0,0.0,0.0,0.4625,False,10304
010305,Amazonas,BONGARÁ,CUISPES,0.0034857893,0.060262464,1.2150727e-05,0.0,0.0,0.99139524,227.81808,False,10305
010306,Amazonas,BONGARÁ,FLORIDA,0.0,0.0,0.0,0.0,0.0,0.0,3.8257,False,10306
010308,Amazonas,BONGARÁ,RECTA,0.0,0.0,0.0,0.0,0.0,0.0,0.35032,False,10308
010311,Amazonas,BONGARÁ,VALERA,0.0,0.0,0.0,0.0,0.0,0.0,11.76894,False,10311
010312,Amazonas,BONGARÁ,YAMBRASBAMBA,0.0077490266,1.0,6.0047412e-05,0.00030277116,0.0,7.4034977,6.2157702,False,10312
010501,Amazonas,LUYA,LAMUD,0.034027614,0.036696207,0.0011578785,0.0,0.0,0.4648724,5.12553,False,10501
010502,Amazonas,LUYA,CAMPORREDONDO,0.0,0.0,0.0,0.0,0.0,0.0,10.66402,False,10502
010503,Amazonas,LUYA,COCABAMBA,0.03373732,0.03373732,0.0011382068,0.0,0.0,39.483883,32.74223,False,10503
010504,Amazonas,LUYA,COLCAMAR,0.25685227,0.7904591,0.06597309,0.0,0.0,6.9995337,6.1786604,False,10504
010505,Amazonas,LUYA,CONILA,0.0,0.0,0.0,0.0,0.0,0.0,87.01408,False,10505
010506,Amazonas,LUYA,INGUILPATA,0.12743165,1.0,0.016238824,0.0,0.0,10.798476,0.97727,False,10506
010507,Amazonas,LUYA,LONGUITA,0.029294547,0.032450326,0.00085817045,0.0,0.0,1.8573831,4.28623,False,10507
010508,Amazonas,LUYA,LONYA CHICO,0.0,0.0,0.0,0.0,0.0,0.0,4.38619,False,10508
010509,Amazonas,LUYA,LUYA,0.14675066,0.3217485,0.021535756,0.0,0.0,2.4367902,3.57099,False,10509
010510,Amazonas,LUYA,LUYA VIEJO,0.0,0.0,0.0,0.0,0.0,0.0,7.57402,False,10510
010511,Amazonas,LUYA,MARÍA,0.0017762455,0.009828721,3.1550483e-06,0.0,0.0,0.17031935,0.96055,False,10511
010512,Amazonas,LUYA,OCALLI,0.12568544,0.12568544,0.015796829,0.0,0.0,10.233145,26.121689,False,10512
010513,Amazonas,LUYA,OCUMAL,0.13472605,0.31997734,0.018151108,0.0,0.0,7.763393,9.53321,False,10513
010514,Amazonas,LUYA,PISUQUIA,0.103797376,0.14319254,0.010773895,0.0,0.0,6.3451056,18.64428,False,10514
010516,Amazonas,LUYA,SAN CRISTÓBAL,0.0,0.0,0.0,0.0,0.0,0.0,26.4683,False,10516
010517,Amazonas,LUYA,SAN FRANCISCO DEL YESO,0.00039219914,0.0018190914,1.5382017e-07,0.0,0.0,0.10900368,24.00275,False,10517
010519,Amazonas,LUYA,SAN JUAN DE LOPECANCHA,0.0,0.0,0.0,0.0,0.0,0.0,3.08495,False,10519
010520,Amazonas,LUYA,SANTA CATALINA,0.047651656,0.15999724,0.0022706804,0.0,0.0,3.8389242,2.03878,False,10520
010521,Amazonas,LUYA,SANTO TOMAS,0.0,0.0,0.0,0.0,0.0,0.0,3.4995801,False,10521
010522,Amazonas,LUYA,TINGO,0.013338284,0.01849302,0.00017790981,0.0,0.0,0.9057841,5.743,False,10522
010523,Amazonas,LUYA,TRITA,0.0,0.0,0.0,0.0,0.0,0.0,0.64693,False,10523
010601,Amazonas,RODRÍGUEZ DE MENDOZA,SAN NICOLÁS,0.012572504,0.071992435,0.00015806785,0.0,0.0,0.61042625,3.25278,False,10601
010602,Amazonas,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,0.00091509224,0.028501049,8.373938e-07,0.0,0.0,0.12322891,2.3298502,False,10602
010603,Amazonas,RODRÍGUEZ DE MENDOZA,COCHAMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.060200002,False,10603
010604,Amazonas,RODRÍGUEZ DE MENDOZA,HUAMBO,0.050415814,0.08463634,0.0025417544,0.0,0.0,0.93616617,5.3991804,False,10604
010605,Amazonas,RODRÍGUEZ DE MENDOZA,LIMABAMBA,0.0,0.0,0.0,0.0,0.0,0.0,4.54315,False,10605
010606,Amazonas,RODRÍGUEZ DE MENDOZA,LONGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.67545,False,10606
010607,Amazonas,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,0.000340508,0.0022436786,1.159457e-07,0.0,0.0,0.028267361,1.51482,False,10607
010608,Amazonas,RODRÍGUEZ DE MENDOZA,MILPUC,0.0,0.0,0.0,0.0,0.0,0.0,1.36921,False,10608
010609,Amazonas,RODRÍGUEZ DE MENDOZA,OMIA,0.0,0.0,0.0,0.0,0.0,0.0,13.03983,False,10609
010610,Amazonas,RODRÍGUEZ DE MENDOZA,SANTA ROSA,0.0,0.0,0.0,0.0,0.0,0.0,0.302,False,10610
010611,Amazonas,RODRÍGUEZ DE MENDOZA,TOTORA,0.0,0.0,0.0,0.0,0.0,0.0,0.91065,False,10611
